Income,Credit_Score,Repay_Loan
74908.0237694725,460.47810759494024,1
190142.86128198323,600.1650610413604,1
146398.78836228102,615.6094477849199,1
119731.69683940732,576.0985383958441,1
31203.728088487303,395.994883052837,0
31198.904067240528,427.2446516677584,1
11616.722433639892,373.268774140214,0
173235.22915498703,674.0212630636802,1
120223.00234864176,536.2360620097647,0
141614.5155592091,483.5713751074587,1
4116.898859160489,334.01089086627616,0
193981.97043239887,700.4252020945844,1
166488.52816008436,649.2717865518911,1
42467.82213565523,308.3307297220919,0
36364.99344142013,307.8665944583445,0
36680.90197068676,436.55097514134775,1
60848.448591907545,419.3235879524158,1
104951.28632644757,550.7926144952527,1
86389.00372842315,474.47711002467395,1
58245.82803960838,418.2770244489615,0
122370.5789444759,601.0381862475116,1
27898.772130408368,324.8348605677743,0
58428.92970704363,422.62510603054625,0
73272.36865873834,418.8082199951741,0
91213.99684340719,456.35822004087544,0
157035.1922786027,595.520057149087,1
39934.75643167195,393.1975391613667,1
102846.88768272231,476.968858065636,1
118482.91377240849,612.3111950792282,1
9290.082543999544,300.0,0
121508.97038028768,531.8056421108938,1
34104.82473745831,341.8257859784661,0
13010.318597055903,412.8393102553358,1
189777.10745066666,691.3475014920278,1
193126.40661491186,748.1634855979418,1
161679.4696232922,534.2253168643662,1
60922.753834674135,437.86852362150387,0
19534.422801276774,392.4466933399598,0
136846.6053024314,578.6302499613882,1
88030.49874792025,539.9898199997616,1
24407.646968955763,317.7779869318892,0
99035.38202225404,582.6316104556429,1
6877.704223043679,451.68929586324236,0
181864.0804157564,641.9578472051332,1
51755.99632000338,376.78184135596047,0
132504.4568707964,652.2119823686548,1
62342.21521788219,519.4587591796071,1
104013.60423556216,476.6556068419282,1
109342.05586865592,493.4729027115605,0
36970.89110510541,357.0347056785804,1
193916.9255529117,607.1668204437668,1
155026.5646722229,554.9340125553939,1
187899.78831283783,615.5511306205516,1
178965.47008552976,611.8630862648118,1
119579.99576221703,537.0788982812272,1
184374.84700462336,682.8025779614379,1
17698.5004103839,428.4270303896124,0
39196.57248382904,318.4919025233306,0
9045.457782107613,377.15025947281026,0
65066.06615265287,417.2928016517752,1
77735.4579378964,452.5030932966468,1
54269.80635477918,449.0287822395546,1
165747.50183038588,564.1316823670338,1
71350.66533871785,465.6459154484788,1
56186.901937476156,422.36093636773563,0
108539.21663164969,546.6255091037883,1
28184.844994952527,373.71980862437414,1
160439.39615080794,768.1968006962695,1
14910.128735954164,300.0,0
197377.38732010347,662.8949573400979,1
154448.9538593315,571.5094761331771,1
39743.13630683448,346.1576454640537,0
1104.42342472048,300.0,0
163092.28569096682,697.5255632483868,1
141371.46876952343,667.9731924184381,1
145801.43360819746,557.3580895914264,1
154254.06933718914,558.5668042881246,1
14808.930346818071,357.9027940768204,0
71693.14570885453,410.2529087608508,1
23173.81190502594,384.3235328753825,0
172620.6851751187,657.4167516013154,1
124659.62536551159,458.3746038311893,1
66179.60497052984,525.2095220208635,1
12711.670057204727,433.1760005001408,1
62196.464343132444,387.62560725720175,0
65036.66440534941,406.8112352145398,1
145921.2356676128,608.9943947787199,1
127511.49427104263,575.0903959413067,1
177442.5485152653,694.3977533909006,1
94442.98503238986,609.4982423907607,1
23918.84918766034,337.2208647256777,0
142648.95744459901,537.4000802168908,1
152157.00972337948,521.5548657658874,1
112255.43951389924,480.65507663128335,1
154193.4359909122,606.3992536093966,1
98759.11927287815,605.1917103568235,1
104546.56587639882,478.03645381062734,1
85508.20367170993,484.4436844417537,1
5083.825348819038,309.18227693327293,0
21578.28539866089,414.4601672042068,1
6285.83713734685,464.187619827111,0
127282.08225275608,522.712038130293,1
62871.196215265336,396.37602587943735,0
101714.13823294056,566.0779290900255,1
181513.2947852186,703.9400789480159,1
49858.44582977499,510.519331203712,0
82076.58460712594,499.1888603338097,0
151110.22770860975,580.6629299699958,1
45759.63309832449,426.9585560381875,1
15395.981965758598,397.3141787664917,1
57950.29058275361,465.12951203734906,0
32244.257450800884,394.92495676803964,1
185939.53046851463,735.8795423123786,1
161624.0759128834,693.4058872525072,1
126680.7513020847,636.2910420664209,1
174292.11803754355,687.5068293304657,1
160734.4153798229,611.4417459406345,0
37314.01177720717,383.4308447404137,0
178511.79969799556,729.4141373864926,1
107868.44838313015,466.7207565070262,0
161488.03103281252,645.0964605979991,1
179218.25998469864,634.8361912297556,0
63600.694994372774,428.92607936483455,1
22010.384905535353,420.72788156750863,0
45587.032508388336,402.6400090979709,0
85421.55772525126,473.62930833987144,1
163602.95318449862,545.6145379102021,1
172146.11665126868,689.0674472641706,1
1390.4261062381406,341.50990308094083,0
102149.46051551314,634.0942044293539,1
83482.2006297558,448.49770716233155,1
44421.56209414605,401.9921438481284,1
23973.07346673656,362.90916795611844,0
67523.0342807256,529.6932653472596,1
188581.94078250384,671.4461496217905,1
64640.58640415104,446.02246435452247,1
103758.12434867321,543.9900392803388,1
140603.79177903556,592.4041309474526,1
72725.9204758588,418.6658240786859,1
194356.41654419212,700.3582326622827,1
192489.45898842224,749.3968229684308,1
